ProjectName,ProjectDeveloper,ProjectOwner,State,County,Latitude,Longitude,Capacity,CurrentPhase,TimelineDays,OnlyCanceled,ArtificialEnd,OperatingDateFirst,PhaseHistory,,,,,,,,,,,,,,,,,,,,,,,
PW FEM1,sPower,sPower,SD,Charles Mix,43.075,-98.118,10.2,Proposed,682,No,Yes,No,Proposed:12/19/2016,,,,,,,,,,,,,,,,,,,,,,,
PW LRE1,sPower,sPower,SD,Bon Homme,43.076,-98.077,10.2,Proposed,682,No,Yes,No,Proposed:12/19/2016,,,,,,,,,,,,,,,,,,,,,,,
PW NEC1,sPower,sPower,SD,Charles Mix,43.092,-98.133,20,Proposed,682,No,Yes,No,Proposed:12/19/2016,,,,,,,,,,,,,,,,,,,,,,,
PW SEC1,sPower,sPower,SD,Bon Homme,43.118,-98.084,20,Proposed,682,No,Yes,No,Proposed:12/19/2016,,,,,,,,,,,,,,,,,,,,,,,
PW SEC2,sPower,sPower,SD,Bon Homme,43.133,-98.058,20,Proposed,682,No,Yes,No,Proposed:12/19/2016,,,,,,,,,,,,,,,,,,,,,,,
PW SEC3,sPower,sPower,SD,Bon Homme,43.161,-98.034,20,Proposed,682,No,Yes,No,Proposed:12/19/2016,,,,,,,,,,,,,,,,,,,,,,,
PW SVE1,sPower,sPower,SD,Bon Homme,43.072,-98.051,20,Proposed,682,No,Yes,No,Proposed:12/19/2016,,,,,,,,,,,,,,,,,,,,,,,
PW SVE2,sPower,sPower,SD,Bon Homme,43.052,-98.044,20,Proposed,682,No,Yes,No,Proposed:12/19/2016,,,,,,,,,,,,,,,,,,,,,,,
PW SVE3,sPower,sPower,SD,Bon Homme,43.047,-98.022,20,Proposed,682,No,Yes,No,Proposed:12/19/2016,,,,,,,,,,,,,,,,,,,,,,,
Quilt Block Wind Farm,Quilt Block Wind Farm,Quilt Block Wind Farm,WI,Lafayette,42.6636,-90.2652,99,Operating,3316,No,No,No,Operating:11/10/2017,Testing:9/1/2017,Under Const:1/31/2017,Permitted:6/15/2016,App Pending:10/24/2014,Canceled:9/20/2012,Permitted:12/1/2010,Proposed:10/12/2008,Postponed:6/8/2005,Feasibility:11/5/2003,,,,,,,,,,,,,,
Quixote One,Leader Resources,Quixote One Wind Energy,ON,,44.2485,-81.5884,2.35,Operating,1487,No,No,No,Operating:8/14/2015,Permitted:8/13/2014,Proposed:7/19/2011,,,,,,,,,,,,,,,,,,,,,
Rabbit Hill Wind Farm,Mountain Island Energy,Mountain Island Energy,ID,Caribou,42.6693,-111.5596,120,Canceled,1100,Yes,No,No,Canceled:11/19/2009,Proposed:11/15/2006,,,,,,,,,,,,,,,,,,,,,,
Radar Hill Wind,Greengate Power,Greengate Power,AB,,52.2689,-113.6747,100,Canceled,3256,Yes,No,No,Canceled:10/24/2016,Postponed:10/26/2015,Proposed:4/1/2011,Postponed:11/1/2010,Proposed:11/25/2007,,,,,,,,,,,,,,,,,,,
Radar Ridge Wind,Energy Northwest,Energy Northwest,WA,Pacific,46.4358,-123.8177,82,Canceled,842,Yes,No,No,Canceled:11/16/2011,Proposed:7/27/2009,,,,,,,,,,,,,,,,,,,,,,
Radiance Wind Farm,Pacific Winds,Pacific Winds,ND,Burleigh,47.0674,-100.4959,99,Canceled,1458,Yes,No,No,Canceled:3/29/2013,Postponed:12/26/2012,Proposed:4/1/2009,,,,,,,,,,,,,,,,,,,,,
Rail Splitter Project,Rail Splitter Wind Farm,Rail Splitter Wind Farm,IL,Logan,40.3203,-89.3939,100.5,Operating,1537,No,No,No,Operating:7/21/2009,Under Const:8/8/2008,Permitted:7/17/2008,Proposed:5/6/2005,,,,,,,,,,,,,,,,,,,,
Rainbow Wind,American Wind Group,Rainbow West Wind,ID,Cassia,42.574,-113.411,40,Canceled,683,Yes,No,No,Canceled:9/25/2012,Proposed:11/12/2010,,,,,,,,,,,,,,,,,,,,,,
Raleigh Wind Energy Centre,Raleigh Wind Power Partership,Raleigh Wind Power Partership,ON,,42.3009,-82.2041,78,Operating,767,No,No,No,Operating:3/1/2011,Testing:1/1/2011,Permitted:11/17/2009,Proposed:1/23/2009,,,,,,,,,,,,,,,,,,,,
Ramada Inn Civic Center Wind Project,Ramada Inn Civic Center,Ramada Inn Civic Center,AL,Mobile,30.688,-88.0429,0.015,Operating,20,No,No,No,Operating:8/13/2007,Proposed:7/24/2007,,,,,,,,,,,,,,,,,,,,,,
Ramsey County Wind Farm (MMPA),Minnesota Municipal Power Agency,Minnesota Municipal Power Agency,MN,Ramsey,45.0125,-92.9917,0.16,Operating,1107,No,No,No,Operating:2/28/2010,Testing:12/31/2009,Under Const:10/10/2009,Proposed:2/17/2007,,,,,,,,,,,,,,,,,,,,
Randall Creek (Midwest Wind),Midwest Wind Energy,Midwest Wind Energy,WI,Marathon,45.0111,-89.3544,100,Canceled,901,Yes,No,No,Canceled:12/22/2008,Postponed:1/3/2008,Proposed:7/5/2006,,,,,,,,,,,,,,,,,,,,,
Randolph County Wind (I&M),Indiana Michigan Power Co,Indiana Michigan Power Co,IN,Randolph,40.2683,-84.9842,100,Canceled,1587,Yes,No,No,Canceled:6/3/2011,Proposed:1/28/2007,,,,,,,,,,,,,,,,,,,,,,
Rapid City Wind Farm,Schneider Power,Schneider Power,MB,,49.9838,-100.0378,345,Canceled,1991,Yes,No,No,Canceled:10/1/2012,Postponed:10/3/2011,Proposed:4/20/2007,,,,,,,,,,,,,,,,,,,,,
Rattlesnake Creek Wind,Enel Green Power Rattlesnake Creek Wind Project,Enel Green Power Rattlesnake Creek Wind Project,NE,Dixon,42.37,-96.8371,320,Under Const,1309,Yes,No,No,Under Const:11/14/2017,Proposed:10/23/2017,Canceled:4/9/2014,Postponed:12/2/2013,Proposed:9/8/2010,,,,,,,,,,,,,,,,,,,
Rattlesnake Hills Wind,Columbia Energy Partners,Columbia Energy Partners,WA,Yakima,46.4789,-120.1897,35,Canceled,1426,Yes,No,No,Canceled:12/30/2009,Proposed:2/3/2006,,,,,,,,,,,,,,,,,,,,,,
Rattlesnake Road Wind,Arlington Wind Power Project,Arlington Wind Power Project,OR,Gilliam,45.6864,-120.2489,102.9,Canceled,1576,No,No,No,Canceled:9/30/2013,Postponed:10/8/2012,Operating:12/31/2008,Under Const:7/1/2008,App Pending:11/1/2007,App Pending:5/29/2007,Proposed:9/7/2004,,,,,,,,,,,,,,,,,
Ravenswood Wind Project,Aeolian Energy,Sky Generation,ON,,43.1751,-81.9812,9.9,Operating,162,No,No,No,Operating:1/22/2008,Under Const:8/24/2007,Proposed:8/13/2007,,,,,,,,,,,,,,,,,,,,,
RCEA Offshore Wind,Redwood Coast Energy Authority,Redwood Coast Energy Authority,CA,Offshore,40.84,-124.67,150,Proposed,210,No,Yes,No,Proposed:4/5/2018,,,,,,,,,,,,,,,,,,,,,,,
Reading Wind Project (RES),Reading Wind Energy,Reading Wind Energy,KS,Lyon,38.5072,-95.9525,130.5,Proposed,1537,Yes,No,No,Proposed:6/3/2016,Canceled:9/30/2013,Postponed:9/26/2012,Proposed:7/16/2009,,,,,,,,,,,,,,,,,,,,
Reardan Wind Project,Avista,Avista,WA,Lincoln,47.7521,-117.8991,90,Canceled,4018,Yes,No,No,Canceled:7/15/2016,Postponed:2/18/2010,Proposed:7/15/2005,,,,,,,,,,,,,,,,,,,,,
Record Hill Wind,Record Hill Wind,Record Hill Wind,ME,Oxford,44.6611,-70.6278,50.6,Operating,1577,No,No,No,Operating:12/30/2011,Under Const:4/1/2011,Site Prep:10/8/2009,Permitted:8/20/2009,App Pending:6/25/2008,Proposed:9/5/2007,,,,,,,,,,,,,,,,,,
Red Dirt Wind Project,Red Dirt Wind Project,Red Dirt Wind Project,OK,Kingfisher,36.0934,-97.8667,300,Operating,624,No,No,No,Operating:1/4/2018,Under Const:4/19/2017,App Pending:7/2/2016,Proposed:4/20/2016,,,,,,,,,,,,,,,,,,,,
Red Horse 2,Red Horse Wind 2,Red Horse Wind 2,AZ,Cochise,32.2321,-110.0527,42.5,Operating,857,No,No,No,Operating:8/15/2015,Testing:7/1/2015,Testing:6/1/2015,Under Const:1/9/2015,Proposed:4/22/2014,Under Const:1/1/2014,Proposed:4/10/2013,,,,,,,,,,,,,,,,,
Red Lake Falls Community Hybrid,Red Lake Falls Community Hybrid,Red Lake Falls Community Hybrid,MN,Red Lake,47.869,-96.319,5.6,Proposed,959,No,Yes,No,Proposed:3/17/2016,,,,,,,,,,,,,,,,,,,,,,,
Red Lily Wind Farm,Gaia Power Algonquin Power,Gaia Power Algonquin Power,SK,,50.2238,-101.7772,26.4,Operating,1742,No,No,No,Operating:3/1/2011,Testing:2/7/2011,Under Const:4/21/2010,Proposed:10/3/2008,Postponed:12/20/2006,Proposed:5/24/2006,,,,,,,,,,,,,,,,,,
Red Pine Wind Project,Red Pine Wind Project,Red Pine Wind Project,MN,Lincoln,44.419,-96.3192,200,Operating,1065,No,No,No,Operating:1/31/2018,Testing:12/1/2017,Under Const:10/16/2017,Proposed:3/3/2015,,,,,,,,,,,,,,,,,,,,
Red Raider Wind Farm,Gamesa,NextEra Energy Resources,TX,Hockley,33.617,-102.098,80,Postponed,1828,No,Yes,No,Postponed:7/30/2018,Permitted:4/13/2015,Proposed:10/30/2013,,,,,,,,,,,,,,,,,,,,,
Red River Salt Fork Wind I,Chermac Energy,Chermac Energy,TX,Armstrong,35.1575,-101.2912,80,Canceled,1812,Yes,No,No,Canceled:12/11/2012,Postponed:12/21/2011,Proposed:12/26/2007,,,,,,,,,,,,,,,,,,,,,
Red River Salt Fork Wind II,Chermac Energy,Chermac Energy,TX,,35.175,-101.1793,80,Canceled,1832,Yes,No,No,Canceled:12/31/2012,Postponed:12/21/2011,Proposed:12/26/2007,,,,,,,,,,,,,,,,,,,,,
Red Rock Wind Project,Red Rock Wind Energy,Red Rock Wind Energy,IA,Emmet,43.4011,-94.9143,300,Canceled,2083,Yes,No,No,Canceled:8/26/2014,Postponed:12/13/2013,Proposed:12/12/2008,,,,,,,,,,,,,,,,,,,,,
Red Willow Wind,Red Willow Wind Partnership Limited,Red Willow Wind Partnership Limited,BC,,54.8206,-120.5331,200,Proposed,1345,No,Yes,No,Proposed:2/25/2015,,,,,,,,,,,,,,,,,,,,,,,
Redington Wind Farm,Edison Mission Group,Edison Mission Group,ME,Franklin,45.0778,-70.2125,60,Canceled,4415,Yes,No,No,Canceled:6/1/2009,Canceled:2/1/2006,App Pending:12/19/2005,App Pending:12/12/2005,Proposed:12/31/1993,,,,,,,,,,,,,,,,,,,
Reid's Corners Wind Farm,Vision Quest Windelectric,Vision Quest Windelectric,ON,,44.059,-81.7164,75,Canceled,1568,Yes,No,No,Canceled:1/5/2009,Postponed:8/8/2007,Proposed:9/20/2004,,,,,,,,,,,,,,,,,,,,,
Rembrandt Wind Farm,Pacific Winds,Pacific Winds,ND,Steele,47.2678,-98.2904,57,Canceled,1458,Yes,No,No,Canceled:3/29/2013,Postponed:12/26/2012,Proposed:4/1/2009,,,,,,,,,,,,,,,,,,,,,
Renaissance Wind Farm,Pacific Winds,Pacific Winds,MT,Mccone,47.5616,-105.7476,165,Canceled,1607,Yes,No,No,Canceled:6/27/2013,Postponed:12/29/2010,Proposed:2/1/2009,,,,,,,,,,,,,,,,,,,,,
Reno County Project,EDP Renewables North America,EDP Renewables North America,KS,Reno,37.8601,-97.8379,200,Canceled,570,Yes,No,No,Canceled:7/6/2010,Proposed:12/13/2008,,,,,,,,,,,,,,,,,,,,,,
Reno Junction Wind,Third Planet Windpower,Third Planet Windpower,WY,Campbell,43.8547,-105.8105,150,Canceled,1361,Yes,No,No,Canceled:3/14/2013,Permitted:2/19/2012,Postponed:12/10/2010,Permitted:7/1/2010,App Pending:4/1/2010,Proposed:6/22/2009,,,,,,,,,,,,,,,,,,
Renville County Wind Farm (MMPA),Minnesota Municipal Power Agency,Minnesota Municipal Power Agency,MN,Renville,44.7763,-94.9897,0.16,Operating,1107,No,No,No,Operating:2/28/2010,Testing:12/31/2009,Under Const:10/10/2009,Proposed:2/17/2007,,,,,,,,,,,,,,,,,,,,
Republic Wind,Republic Wind,Republic Wind,OH,Seneca,41.2021,-82.8926,200,Proposed,2184,No,Yes,No,Proposed:11/8/2012,,,,,,,,,,,,,,,,,,,,,,,
Restigouche Wind,Preneal Canada,Preneal Canada,NB,,47.7957,-66.6529,100,Canceled,2029,Yes,No,No,Canceled:1/13/2015,Postponed:1/14/2014,Proposed:6/24/2009,,,,,,,,,,,,,,,,,,,,,
Revolution Wind Farm,Pacific Winds,Pacific Winds,KS,Pawnee,38.1616,-99.4045,95,Canceled,1036,Yes,No,No,Canceled:4/2/2012,Postponed:6/15/2011,Proposed:6/1/2009,,,,,,,,,,,,,,,,,,,,,
Revolution Wind Farm (Offshore),Deepwater Wind,Deepwater Wind,MA,Offshore,41.1721,-70.6349,400,Proposed,458,No,Yes,No,Proposed:7/31/2017,,,,,,,,,,,,,,,,,,,,,,,
Reykjavik Wind,Westman Wind Power Co,Westman Wind Power Co,MB,,50.8323,-99.0844,90,Canceled,1394,Yes,No,No,Canceled:12/31/2009,Postponed:1/8/2009,Proposed:3/8/2006,,,,,,,,,,,,,,,,,,,,,
Rhode Island Energy Independence 1,Fishermens Energy of Rhode Island,Fishermens Energy of Rhode Island,RI,Offshore,41.107,-71.5603,400,Canceled,113,Yes,No,No,Canceled:9/25/2008,Proposed:6/4/2008,,,,,,,,,,,,,,,,,,,,,,
Ridge Crest Wind,EDF Renewable Energy,Ridge Crest Wind Partners,CO,Logan,40.9459,-103.1621,29.7,Canceled,1025,Yes,No,Yes,Canceled:6/30/2011,Postponed:5/7/2010,Proposed:9/8/2008,Operating:10/16/2001,,,,,,,,,,,,,,,,,,,,
Ridge Energy Project,Ridge Energy,Ridge Energy,SD,Minnehaha,43.793,-96.771,9,Canceled,929,Yes,No,No,Canceled:2/29/2016,Postponed:10/14/2015,Proposed:8/14/2013,,,,,,,,,,,,,,,,,,,,,
Ridgeline Eastern Energy Wind,Ridgeline Eastern Energy,Ridgeline Eastern Energy,NY,Delaware,42.1849,-74.9307,18,Canceled,1072,Yes,No,No,Canceled:10/7/2014,Postponed:10/4/2013,Proposed:10/31/2011,,,,,,,,,,,,,,,,,,,,,
Ridgetop Energy,Ridgetop Energy,Ridgetop Energy,CA,Kern,35.0806,-118.2986,-31.1,Canceled,930,Yes,No,No,Canceled:7/31/2012,Proposed:8/1/2011,Proposed:1/13/2010,,,,,,,,,,,,,,,,,,,,,
Ridgetop Energy II,Pacific Crest Power,Pacific Crest Power,CA,Kern,35.0746,-118.3062,46.8,Canceled,930,Yes,No,Yes,Canceled:7/31/2012,Proposed:1/13/2010,Operating:6/1/1999,,,,,,,,,,,,,,,,,,,,,
Rim Rock Project,NaturEner Rim Rock Wind Energy,NaturEner Rim Rock Wind Energy,MT,Toole,48.8311,-112.0886,189,Operating,1472,No,No,No,Operating:12/28/2012,Canceled:9/18/2012,Testing:8/31/2012,Proposed:1/30/2012,Under Const:10/1/2011,Proposed:12/17/2008,,,,,,,,,,,,,,,,,,
Ringer Hill Project,Ringer Hill Wind,Ringer Hill Wind,PA,Somerset,39.7692,-79.2191,39.9,Operating,1757,No,No,No,Operating:12/20/2016,Under Const:7/26/2016,Proposed:2/28/2012,,,,,,,,,,,,,,,,,,,,,
Ringneck Prairie Wind Generation,Midwest Energy,Midwest Energy,KS,Graham,39.186,-99.663,70,Permitted,2680,No,Yes,No,Permitted:5/7/2013,Proposed:7/1/2011,,,,,,,,,,,,,,,,,,,,,,
Rio Grande Wind,Baryonyx,Baryonyx,TX,Offshore,26.1889,-97.0142,18,Canceled,1211,Yes,No,No,Canceled:6/3/2014,Canceled:11/8/2012,App Pending:6/17/2011,Proposed:7/16/2009,,,,,,,,,,,,,,,,,,,,
Ripley Hill,Invenergy,Invenergy,NY,Onondaga,42.7903,-76.2406,75,Canceled,541,Yes,No,No,Canceled:11/8/2005,Proposed:5/16/2004,,,,,,,,,,,,,,,,,,,,,,
Ripley Wind Power Project,Suncor Energy,Suncor Energy,ON,,44.0675,-81.6473,76,Operating,1182,No,No,No,Operating:12/31/2007,Testing:11/24/2007,Under Const:1/30/2007,Permitted:11/24/2006,App Pending:9/1/2006,Proposed:10/5/2004,,,,,,,,,,,,,,,,,,
Rising Tree Wind Farm Project,Rising Tree Wind Farm,Rising Tree Wind Farm,CA,Kern,35.0705,-118.2349,79.2,Operating,2263,No,No,No,Operating:8/25/2015,Under Const:3/27/2015,Operating:1/1/2015,Permitted:9/25/2014,Under Const:9/5/2014,Proposed:5/8/2014,App Pending:11/1/2010,Proposed:10/21/2008,,,,,,,,,,,,,,,,
Riverbend Farms,TradeWind Energy,TradeWind Energy,IL,Putnam,41.2118,-89.1761,90,Canceled,1364,Yes,No,No,Canceled:2/7/2012,Proposed:5/14/2008,,,,,,,,,,,,,,,,,,,,,,
Riverhurst Wind Power Project (SK),Canadian Hydro Developers,Sprott Power,SK,,50.7329,-106.9153,10,Proposed,4687,No,Yes,No,Proposed:3/21/2011,Postponed:10/1/2007,Under Const:6/1/2007,Proposed:1/1/2006,,,,,,,,,,,,,,,,,,,,
RiverWinds 1,Missouri River Energy Services,WPPI Energy,MN,Nobles,43.6219,-95.6795,3.6,Operating,156,No,No,No,Operating:12/31/2003,Proposed:9/18/2003,Operating:7/12/2002,Under Const:4/20/2002,Permitted:4/8/2002,Proposed:2/6/2002,,,,,,,,,,,,,,,,,,
Riviera I Wind Project,Texas Wind Group,Texas Wind Group,TX,Kleberg,27.3314,-97.7704,135,Canceled,781,Yes,No,No,Canceled:5/30/2014,Proposed:4/9/2012,,,,,,,,,,,,,,,,,,,,,,
Riviere du Moulin Wind Farm,St Laurent Energies,St Laurent Energies,QC,,47.9385,-71.0739,150,Operating,2415,No,No,No,Operating:11/26/2015,Operating:12/17/2014,Under Const:12/31/2013,Permitted:1/30/2013,Proposed:5/7/2008,,,,,,,,,,,,,,,,,,,
Roadrunner I,Roadrunner I,Roadrunner I,MN,Lincoln,44.29,-96.4334,1.3,Operating,637,No,No,No,Operating:5/31/2006,Under Const:10/21/2005,Proposed:9/1/2004,,,,,,,,,,,,,,,,,,,,,
Roadrunner Wind Farm,RES Americas,RES Americas,TX,Brown,31.706,-98.7033,345,Canceled,2003,Yes,No,No,Canceled:7/2/2013,Postponed:10/3/2012,Proposed:1/7/2008,,,,,,,,,,,,,,,,,,,,,
Roaming Bison Wind,Roaming Bison Wind,Roaming Bison Wind,IN,Montgomery,40.1765,-86.9846,300,Proposed,563,No,Yes,No,Proposed:4/17/2017,,,,,,,,,,,,,,,,,,,,,,,
Roanoke Wind Farm,Roanoke,Roanoke,IL,Woodford,40.8702,-89.1015,100,Canceled,1031,Yes,No,No,Canceled:2/15/2012,Permitted:7/1/2011,App Pending:5/19/2009,Proposed:4/20/2009,,,,,,,,,,,,,,,,,,,,
Roaring Brook Wind Farm,Atlantic Wind,Atlantic Wind,NY,Lewis,43.7044,-75.6161,78,Permitted,2634,Yes,No,No,Permitted:7/1/2017,Proposed:5/31/2016,Canceled:4/30/2016,Postponed:7/1/2010,Permitted:12/9/2009,App Pending:9/23/2009,Proposed:2/12/2009,,,,,,,,,,,,,,,,,
Rock Creek Wind Farm,Rock Creek Wind Power,Rock Creek Wind Power,OR,Gilliam,45.3816,-120.1335,275,Canceled,1895,Yes,No,No,Canceled:6/15/2015,App Pending:9/16/2010,Proposed:4/7/2010,,,,,,,,,,,,,,,,,,,,,
Rock Creek Wind Project,Enel Green Power North America,Rock Creek Wind Project,MO,Atchison,40.4402,-95.2339,150,Operating,3043,No,No,No,Operating:11/14/2017,Under Const:10/17/2016,Proposed:4/7/2016,Canceled:5/20/2013,Proposed:7/16/2009,,,,,,,,,,,,,,,,,,,
Rock Falls Wind Farm,Rock Falls Wind Farm,Rock Falls Wind Farm,OK,Grant,36.53,-97.28,154,Operating,713,No,No,No,Operating:12/14/2017,Under Const:3/1/2017,Proposed:1/1/2016,,,,,,,,,,,,,,,,,,,,,
Rock River I,AES Wind Generation,Shell Renewables,WY,Carbon,41.7175,-106.1091,50,Operating,150,No,No,No,Operating:11/1/2001,Proposed:6/4/2001,,,,,,,,,,,,,,,,,,,,,,
Rock Run Wind Project,Rock Run Wind Park,Rock Run Wind Park,PA,Cambria,40.6894,-78.6623,24,Canceled,2433,Yes,No,No,Canceled:3/12/2013,Postponed:8/6/2010,Proposed:7/14/2006,Feasibility:12/14/2004,,,,,,,,,,,,,,,,,,,,
Rockland Wind Project,Ridgeline Power Services,Rockland Wind Farm,ID,Power,42.6926,-112.911,79.2,Canceled,457,No,No,No,Canceled:5/30/2013,Operating:12/9/2011,Under Const:4/1/2011,Proposed:12/17/2010,Proposed:9/8/2010,,,,,,,,,,,,,,,,,,,
Rocksprings Wind Farm,John Laing Group PLC,Akuo Energy USA,TX,Val Verde,29.9987,-100.7148,95.2,Operating,289,No,No,No,Operating:10/27/2017,Under Const:2/29/2016,Operating:1/29/2015,Proposed:4/15/2014,Under Const:12/1/2013,,,,,,,,,,,,,,,,,,,
Rocky Creek Energy Project,Rupert Peace Power,Rupert Peace Power,BC,,55.168,-121.555,500,Postponed,607,Yes,No,No,Postponed:4/12/2016,Proposed:11/5/2012,Canceled:5/31/2011,Proposed:10/1/2009,,,,,,,,,,,,,,,,,,,,
Rocky Forge Wind,Rocky Forge Wind,Rocky Forge Wind,VA,Botetourt,37.7135,-79.7072,96.6,Permitted,1535,No,Yes,No,Permitted:3/7/2017,App Pending:10/25/2016,Proposed:8/19/2014,,,,,,,,,,,,,,,,,,,,,
Rocky Ridge Wind,Rocky Ridge Wind Project,Rocky Ridge Wind Project,OK,Kiowa,35.0983,-99.0053,148.8,Canceled,664,No,No,No,Canceled:9/30/2014,Operating:7/3/2012,Under Const:10/11/2011,Proposed:9/8/2010,,,,,,,,,,,,,,,,,,,,
Rogers City Wind Farm,Swan Bay Wind,Swan Bay Wind,MI,Presque Isle,45.4105,-83.8728,70,Canceled,1446,Yes,No,No,Canceled:9/25/2017,Proposed:10/10/2013,,,,,,,,,,,,,,,,,,,,,,
Rogerson Flats Wind Park,Rogerson Flats Wind Park,Rogerson Flats Wind Park,ID,Twin Falls,42.215,-114.61,20,Canceled,263,Yes,No,No,Canceled:8/17/2012,Proposed:11/28/2011,,,,,,,,,,,,,,,,,,,,,,
Rolette Wind Project,Rolette Power Development,Rolette Power Development,ND,Rolette,48.6614,-99.8932,100,Permitted,2007,No,Yes,No,Permitted:11/18/2015,App Pending:6/22/2015,Proposed:5/4/2013,,,,,,,,,,,,,,,,,,,,,
Rolling Farms Wind Project,TradeWind Energy,TradeWind Energy,IL,Christian,39.409,-89.0854,150,Canceled,2315,Yes,No,No,Canceled:11/11/2014,Postponed:9/19/2013,Proposed:7/10/2008,,,,,,,,,,,,,,,,,,,,,
Rolling Hills Wind (IA),MidAmerican Energy Co,MidAmerican Energy Co,IA,Cass,41.1932,-94.7939,443.9,Operating,338,No,No,No,Operating:12/1/2011,Under Const:5/23/2011,Site Prep:3/8/2011,Proposed:12/28/2010,,,,,,,,,,,,,,,,,,,,
Rolling Upland Wind,Rolling Upland Wind Farm,Rolling Upland Wind Farm,NY,Madison,42.8746,-75.4536,72.6,Proposed,3579,No,Yes,No,Proposed:1/31/2016,Postponed:8/31/2014,Proposed:1/13/2009,,,,,,,,,,,,,,,,,,,,,
Rollins Mountain,Evergreen Wind Power III,Evergreen Wind Power III,ME,Penobscot,45.4024,-68.3605,60,Operating,1136,No,No,No,Operating:7/20/2011,Under Const:10/17/2010,Permitted:10/8/2009,App Pending:10/31/2008,Proposed:6/9/2008,Canceled:7/26/2005,Feasibility:3/10/2003,,,,,,,,,,,,,,,,,
Romney Wind Energy Centre,EDF En Canada,EDF En Canada,ON,,42.2957,-82.4096,60,Permitted,1183,No,Yes,No,Permitted:5/2/2018,App Pending:9/6/2017,Proposed:8/6/2015,,,,,,,,,,,,,,,,,,,,,
Rooks County Wind Farm,ICG Aeolian Energy,ICG Aeolian Energy,KS,Rooks,39.3877,-99.3416,50,Canceled,1853,Yes,No,No,Canceled:3/28/2014,Postponed:11/11/2011,Proposed:3/1/2009,,,,,,,,,,,,,,,,,,,,,
Roosevelt Wind Project,Roosevelt Wind Project,Roosevelt Wind Project,NM,Roosevelt,33.9474,-103.5603,250,Operating,1749,No,No,No,Operating:12/15/2015,Under Const:12/9/2014,Proposed:3/2/2011,,,,,,,,,,,,,,,,,,,,,
Root River Energy Wind Farm,Root River Energy,Root River Energy,MN,Fillmore,43.6743,-92.09,300,Canceled,1834,Yes,No,No,Canceled:4/25/2013,Proposed:4/17/2008,,,,,,,,,,,,,,,,,,,,,,
Rosalia Wind,EDP Renewables North America,EDP Renewables North America,KS,Butler,37.8153,-96.6194,119.72,Canceled,29,Yes,No,No,Canceled:10/31/2002,Proposed:10/2/2002,,,,,,,,,,,,,,,,,,,,,,
Roscoe Wind Farm,Airtricity Roscoe Wind Farm,E.ON Climate Renewables North America,TX,Nolan,32.5742,-100.6915,335,Operating,437,No,No,No,Operating:1/15/2018,Under Const:9/6/2017,Permitted:4/30/2017,Operating:10/1/2009,Operating:4/28/2009,Under Const:5/5/2008,Operating:3/31/2008,Testing:2/1/2008,Proposed:8/1/2007,Under Const:5/15/2007,Proposed:1/19/2007,,,,,,,,,,,,,
Rosebud Indian Reservation Wind Farm,Sacred Power,Sacred Power,SD,Todd,43.3248,-101.0077,36,Canceled,1860,Yes,No,No,Canceled:8/30/2017,Postponed:7/3/2015,Proposed:7/27/2012,,,,,,,,,,,,,,,,,,,,,
Rosebud Sioux Wind Farm,Rosebud Sioux Commission,Rosebud Sioux Commission,SD,Todd,43.0026,-100.5785,0.75,Operating,2648,No,No,No,Operating:4/1/2003,Under Const:1/31/2003,Proposed:12/31/1995,,,,,,,,,,,,,,,,,,,,,
Roseman Energy,Roseman Energy,Roseman Energy,IA,Cass,41.371,-94.754,1.7,Operating,105,No,No,No,Operating:3/31/2017,Proposed:12/16/2016,,,,,,,,,,,,,,,,,,,,,,
Roth Rock Wind Power,enXco Service,Roth Rock Wind Farm,MD,Garrett,39.2865,-79.4356,40,Operating,591,No,No,No,Operating:1/25/2011,Under Const:9/9/2010,Site Prep:5/11/2010,Permitted:11/18/2009,Proposed:6/13/2009,App Pending:6/30/2004,,,,,,,,,,,,,,,,,,
Rothsay Wind Energy,Ownenergy,Ownenergy,MN,Otter Tail,46.46,-95.79,20,Canceled,3096,Yes,No,No,Canceled:4/27/2018,Proposed:11/4/2009,,,,,,,,,,,,,,,,,,,,,,
Rough Rider Wind Farm,Rough Rider Wind I,Rough Rider Wind I,ND,Dickey,46.1196,-98.8956,175,Canceled,268,Yes,No,No,Canceled:8/30/2017,Postponed:6/29/2016,Permitted:8/12/2009,App Pending:3/10/2009,Proposed:6/27/2008,Canceled:12/31/2005,Proposed:4/7/2005,,,,,,,,,,,,,,,,,
Roundhouse Renewable Energy Project,Enyo Renewable Energy,Enyo Renewable Energy,WY,Laramie,41.25,-104.52,150,Proposed,74,No,Yes,No,Proposed:8/19/2018,,,,,,,,,,,,,,,,,,,,,,,
Royal Road Wind,Vector Wind Energy,Vector Wind Energy,ON,,43.8621,-77.1389,9,Canceled,2934,Yes,No,No,Canceled:6/29/2012,Postponed:6/23/2011,Proposed:6/17/2004,,,,,,,,,,,,,,,,,,,,,
RTS Wind,Rattlesnake Power,Rattlesnake Power,TX,Mcculloch,31.3244,-99.4894,160,Testing,898,No,Yes,No,Testing:3/8/2018,Under Const:3/31/2017,Proposed:5/17/2016,App Pending:10/19/2015,,,,,,,,,,,,,,,,,,,,
